Organization organ Organization
reason reason reason
to to to
have have have
a a a
moon moon moon
base base base
is is be
economic econom economic
. . .
> > >
> > >
Since sinc Since
someone someon someone
with with with
space space space
industry industri industry
will will will
presumeably presum presumeably
have have have
a a a
much much much
> > >
> > >
larger larger large
GNP gnp GNP
than than than
they they they
would would would
_ _ _
without without without
_ _ _
space space space
industry industri industry
, , ,
eventually eventu eventually
, , ,
> > >
> > >
they they they
will will will
simply simpli simply
be be be
able abl able
to to to
afford afford afford
more more more
stuff stuff stuff
. . .
> > >
> > >
If if If
I i I
read read read
you you you
right right right
, , ,
you you you
' ' '
re re re
saying say say
in in in
essence essenc essence
that that that
, , ,
with with with
a a a
larger larger large
> > >
economy economi economy
, , ,
nations nation nation
will will will
have have have
more more more
discretionary discretionari discretionary
funds fund fund
to to to
* * *
waste wast waste
* * *
> > >
on on on
a a a
lunar lunar lunar
facility facil facility
. . .
That that That
was was be
certainly certain certainly
partially partial partially
the the the
case case case
with with with
Apollo apollo Apollo
, , ,
> > >
but but but
real real real
Lunar lunar Lunar
colonies coloni colony
will will will
probably probabl probably
require requir require
a a a
continuing continu continue
military militari military
, , ,
> > >
scientific scientif scientific
, , ,
or or or
commercial commerci commercial
reason reason reason
for for for
being be be
rather rather rather
than than than
just just just
a a a
" " "
we we we
have have have
> > >
the the the
money money money
, , ,
why whi why
not not not
? ? ?
" " "
approach approach approach
. . .
I i I
was was be
assuming assum assume
that that that
there there there
won won win
' ' '
t t t
be be be
a a a
moon moon moon
base base base
unless unless unless
it it it
makes make make
a a a
profit profit profit
, , ,
actually actual actually
. . .
If if If
it it it
does doe do
, , ,
well well well
, , ,
that that that
gives give give
a a a
larger larger large
GNP gnp GNP
which which which
leads lead lead
to to to
being be be
able abl able
to to to
spend spend spend
more more more
money money money
on on on
your your your
military militari military
, , ,
including includ include
gosh gosh gosh
- - -
wow wow wow
space space space
stuff stuff stuff
. . .
( ( (
assuming assum assume
it it it
' ' '
s s s
profitable profit profitable
, , ,
rather rather rather
than than than
paying pay pay
for for for
itself itself itself
. . .
) ) )
> > >
> > >
It it It
' ' '
s s s
conceivable conceiv conceivable
that that that
Luna luna Luna
will will will
have have have
a a a
military militari military
purpose purpos purpose
, , ,
it it it
' ' '
s s s
possible possibl possible
> > >
that that that
Luna luna Luna
will will will
have have have
a a a
commercial commerci commercial
purpose purpos purpose
, , ,
but but but
it it it
' ' '
s s s
most most most
likely like likely
that that that
> > >
Luna luna Luna
will will will
only onli only
have have have
a a a
scientific scientif scientific
purpose purpos purpose
for for for
the the the
next next next
several sever several
hundred hundr hundred
> > >
years year year
at at at
least least least
. . .
Therefore therefor Therefore
, , ,
Lunar lunar Lunar
bases base base
should should should
be be be
predicated predic predicate
on on on
funding fund funding
> > >
levels level level
little littl little
different differ different
from from from
those those those
found found find
for for for
Antarctic antarct Antarctic
bases base base
. . .
Can can Can
you you you
> > >
put put put
a a a
200 200 200
person person person
base base base
on on on
the the the
Moon moon Moon
for for for
$ $ $
30 30 30
million million million
a a a
year year year
? ? ?
Even even Even
if if if
you you you
> > >
use use use
grad grad grad
students student student
? ? ?
You you You
might might might
be be be
able abl able
to to to
_ _ _
run run run
_ _ _
one one one
for for for
that that that
; ; ;
put put put
it it it
there there there
, , ,
hardly hard hardly
. . .
Why whi Why
do do do
you you you
think think think
at at at
least least least
a a a
couple coupl couple
centuries centuri century
before befor before
there there there
will will will
be be be
significant signific significant
commerical commer commerical
activity activ activity
on on on
the the the
Moon moon Moon
? ? ?
Graydon graydon Graydon
