Organization organ Organization
It it It
' ' '
s s s
basic basic basic
purpose purpos purpose
- - -
not not not
to to to
let let let
the the the
gun gun gun
fire fire fire
until until until
you you you
' ' '
re re re
ready readi ready
. . .
Christ christ Christ
, , ,
I i I
' ' '
ve ve ve
known known know
that that that
since sinc since
I i I
had had have
my my my
first first first
Crosman crosman Crosman
air air air
gun gun gun
. . .
You you You
don don don
' ' '
t t t
know know know
me me me
so so so
don don don
' ' '
t t t
make make make
assumptions assumpt assumption
about about about
what what what
I i I
know know know
and and and
don don don
' ' '
t t t
know know know
. . .
I i I
do do do
know know know
that that that
the the the
Glock glock Glock
has has have
multiple multipl multiple
safties safti safties
from from from
reports report report
, , ,
looking look look
at at at
them them them
at at at
a a a
gun gun gun
shop shop shop
, , ,
and and and
friends friend friend
who who who
own own own
one one one
. . .
> > >
A a A
safety safeti safety
is is be
supposed suppos suppose
to to to
keep keep keep
the the the
gun gun gun
from from from
going go go
off off off
UNLESS unless UNLESS
that that that
' ' '
s s s
> > >
what what what
the the the
user user user
wants want want
. . .
With with With
Glocks glock Glocks
, , ,
one one one
says say say
" " "
I i I
want want want
the the the
gun gun gun
to to to
go go go
> > >
off off off
" " "
by by by
pulling pull pull
the the the
trigger trigger trigger
. . .
If if If
the the the
safeties safeti safety
it it it
has has have
make make make
that that that
work work work
, , ,
> > >
it it it
has has have
a a a
" " "
real real real
" " "
safety safeti safety
, , ,
no no no
matter matter matter
what what what
Kratz kratz Kratz
thinks think think
. . .
> > >
> > >
- - -
andy andi andy
> > >
- - -
- - -
From from From
the the the
things thing thing
I i I
have have have
read read read
/ / /
heard heard heard
Glocks glock Glocks
are are be
always alway always
knocked knock knock
because becaus because
of of of
the the the
trigger trigger trigger
safety safeti safety
. . .
They they They
are are be
supposedly suppos supposedly
harder harder hard
to to to
learn learn learn
to to to
use use use
properly proper properly
. . .
Every everi Every
article articl article
that that that
I i I
have have have
read read read
can can can
' ' '
t t t
be be be
wrong wrong wrong
about about about
the the the
damn damn damn
thing thing thing
. . .
And and And
don don don
' ' '
t t t
ask ask ask
me me me
to to to
quote quot quote
my my my
sources sourc source
because becaus because
I i I
don don don
' ' '
t t t
keep keep keep
a a a
ton ton ton
of of of
gun gun gun
magazines magazin magazine
and and and
/ / /
or or or
rec rec rec
. . .
guns gun gun
articles articl article
laying lay lay
around around around
. . .
Boy boy Boy
, , ,
you you you
can can can
' ' '
t t t
make make make
a a a
simple simpl simple
statement statement statement
on on on
here here here
without without without
someone someon someone
getting get get
right right right
on on on
your your your
ass ass as
. . .
No no No
wonder wonder wonder
why whi why
there there there
are are be
so so so
many mani many
problems problem problem
in in in
the the the
world world world
. . .
Everyone everyon Everyone
takes take take
everything everyth everything
just just just
a a a
little littl little
too too too
seriously serious seriously
. . .
By by By
the the the
way way way
, , ,
I i I
' ' '
m m m
not not not
going go go
to to to
reply repli reply
to to to
any ani any
of of of
this this this
stuff stuff stuff
anymore anymor anymore
as as a
someone someon someone
made made make
the the the
good good good
point point point
that that that
this this this
discussion discuss discussion
is is be
getting get get
too too too
close close close
to to to
r r r
. . .
g g g
( ( (
And and And
yes yes yes
I i I
know know know
that that that
I i I
had had have
something someth something
to to to
do do do
with with with
that that that
) ) )
. . .
Jason jason Jason
