Organization organ Organization
) ) )
, , ,
and and and
ice ice ice
my my my
entire entir entire
face face face
and and and
suck suck suck
down down down
about about about
20 20 20
Tylenol tylenol Tylenol
to to to
ease eas ease
the the the
pain pain pain
. . .
Later later Later
in in in
the the the
day day day
I i I
then then then
proceed proceed proceed
with with with
refilling refil refill
the the the
engine engin engine
oil oil oil
. . .
It it It
' ' '
s s s
just just just
crazy crazi crazy
how how how
I i I
try tri try
and and and
change chang change
the the the
oil oil oil
on on on
my my my
cars car car
in in in
one one one
weekend weekend weekend
- - -
- - -
- - -
I i I
go go go
through through through
about about about
3 3 3
bottles bottl bottle
of of of
Tylenol tylenol Tylenol
and and and
2 2 2
bags bag bag
of of of
ice ice ice
. . .
John john John
